83	(255, 149, 43)	brown, orange	7	5
84	(170, 128, 85)	brown, orange	8	1
85	(213, 128, 43)	brown, orange	8	3
86	(255, 128, 0)	brown, orange	8	5
87	(141, 106, 71)	brown, orange	9	1
88	(177, 106, 35)	brown, orange	9	3
89	(213, 106, 0)	brown, orange	9	5
90	(114, 85, 56)	brown, orange	10	1
91	(141, 85, 29)	brown, orange	10	3
92	(170, 85, 0)	brown, orange	10	5
93	(85, 64, 43)	brown, orange	11	1
94	(106, 64, 21)	brown, orange	11	3
95	(128, 64, 0)	brown, orange	11	5
96	(56, 43, 29)	brown, orange	12	1
97	(71, 43, 14)	brown, orange	12	3
98	(85, 43, 0)	brown, orange	12	5
99	(252, 252, 248)	yellow	1	1
100	(253, 253, 247)	yellow	1	3
101	(255, 255, 244)	yellow	1	5
102	(248, 248, 241)	yellow	2	1
103	(252, 252, 237)	yellow	2	3
104	(255, 255, 234)	yellow	2	5
105	(241, 241, 226)	yellow	3	1
106	(248, 248, 220)	yellow	3	3
107	(255, 255, 213)	yellow	3	5
108	(226, 226, 199)	yellow	4	1
109	(241, 241, 184)	yellow	4	3
110	(255, 255, 170)	yellow	4	5
111	(213, 213, 170)	yellow	5	1
112	(234, 234, 149)	yellow	5	3
113	(255, 255, 128)	yellow	5	5
114	(199, 199, 141)	yellow	6	1
115	(226, 226, 114)	yellow	6	3
116	(255, 255, 85)	yellow	6	5
117	(184, 184, 114)	yellow	7	1
118	(220, 220, 78)	yellow	7	3
119	(255, 255, 43)	yellow	7	5
120	(170, 170, 85)	yellow	8	1
121	(213, 213, 43)	yellow	8	3
122	(255, 255, 0)	yellow	8	5
123	(141, 141, 71)	yellow	9	1
124	(177, 177, 35)	yellow	9	3
125	(213, 213, 0)	yellow	9	5
126	(114, 114, 56)	yellow	10	1
127	(141, 141, 29)	yellow	10	3
128	(170, 170, 0)	yellow	10	5
129	(85, 85, 43)	yellow	11	1
130	(106, 106, 21)	yellow	11	3
131	(128, 128, 0)	yellow	11	5
132	(56, 56, 29)	yellow	12	1
133	(71, 71, 14)	yellow	12	3
134	(85, 85, 0)	yellow	12	5
135	(250, 252, 248)	yellowgreen	1	1
136	(250, 253, 247)	yellowgreen	1	3
137	(250, 255, 244)	yellowgreen	1	5
138	(244, 248, 241)	yellowgreen	2	1
139	(244, 252, 237)	yellowgreen	2	3
140	(244, 255, 234)	yellowgreen	2	5
141	(234, 241, 226)	yellowgreen	3	1
142	(234, 248, 220)	yellowgreen	3	3
143	(234, 255, 213)	yellowgreen	3	5
144	(213, 226, 199)	yellowgreen	4	1
145	(213, 241, 184)	yellowgreen	4	3
146	(213, 255, 170)	yellowgreen	4	5
147	(191, 213, 170)	yellowgreen	5	1
148	(191, 234, 149)	yellowgreen	5	3
149	(191, 255, 128)	yellowgreen	5	5
150	(170, 199, 141)	yellowgreen	6	1
151	(170, 226, 114)	yellowgreen	6	3
152	(170, 255, 85)	yellowgreen	6	5
153	(149, 184, 114)	yellowgreen	7	1
154	(149, 220, 78)	yellowgreen	7	3
155	(149, 255, 43)	yellowgreen	7	5
156	(128, 170, 85)	yellowgreen	8	1
157	(128, 213, 43)	yellowgreen	8	3
158	(128, 255, 0)	yellowgreen	8	5
159	(106, 141, 71)	yellowgreen	9	1
160	(106, 177, 35)	yellowgreen	9	3
